English,Arabic,NationalityF,NationalityM,Extra1,Extra2,Excluded
Afghanistan,أفغانستان,أفغانستانية,أفغانستانى,,,
Albania,ألبانيا,ألبانية,ألبانى,,,
Algeria,الجزائر,جزائرية,جزائرى,,,
Andorra,أندورا,أندوراية,أندوراى,,,
Angola,أنغولا,أنغولاية,أنغولاى,,,
Antigua and Barbuda,أنتيغوا وباربودا,أنتيغوا وباربوداية,أنتيغوا وباربوداى,,,
Argentina,الأرجنتين,أرجنتينية,أرجنتينى,,,
Armenia,أرمينيا,أرمينية,أرمينى,,,
Australia,أستراليا,أسترالية,أسترالى,,,
Austria,النمسا,نمساية,نمساى,,,
Azerbaijan,أذربيجان,أذربيجانية,أذربيجانى,,,
Bahamas,البهاما,بهاماية,بهاماى,,,
Bahrain,البحرين,بحرينية,بحرينى,,,
Bangladesh,بنغلاديش,بنغلاديشية,بنغلاديشى,بنغالى,بنغالية,
Barbados,باربادوس,باربادوسية,باربادوسى,,,
Belarus,بيلاروسيا,بيلاروسية,بيلاروسى,,,
Belgium,بلجيكا,بلجيكية,بلجيكى,,,
Belize,بليز,بليزية,بليزى,,,
Benin,بنين,بنينية,بنينى,,,
Bhutan,بوتان,بوتانية,بوتانى,,,
Bolivia,بوليفيا,بوليفية,بوليفى,,,
Bosnia,البوسنة,بوسنية,بوسنى,,,
Bosnia and Herzegovina,البوسنة والهرسك,بوسنية,بوسنى,,,
Botswana,بوتسوانا,بوتسوانية,بوتسوانى,,,
Brazil,البرازيل,برازيلية,برازيلى,,,
Brunei,بروناي,برونية,برونى,,,
Bulgaria,بلغاريا,بلغارية,بلغارى,,,
Burkina Faso,بوركينا فاسو,بوركينا فاسوية,بوركينا فاسوى,بوركينى,بوركينية,
Burundi,بوروندي,بوروندية,بوروندى,,,
Cambodia,كمبوديا,كمبودية,كمبودى,,,
Cameroon,الكاميرون,كاميرونية,كاميرونى,,,
Canada,كندا,كندية,كندى,,,
Cape Verde,الرأس الأخضر,,,,,
Central African Republic,جمهورية أفريقيا الوسطى,,,,,
Chad,تشاد,تشادية,تشادى,,,
Chile,تشيلي,تشيلية,تشيلى,,,
China,الصين,صينية,صينى,,,
Colombia,كولومبيا,كولومبية,كولومبى,,,
Comoros,جزر القمر,,,,,
Costa Rica,كوستاريكا,كوستاريكية,كوستاريكى,,,
Côte d’Ivoire,ساحل العاج,ساحل العاجية,ساحل العاجى,,,
Croatia,كرواتيا,كرواتية,كرواتى,,,
Cuba,كوبا,كوبية,كوبى,,,
Cyprus,قبرص,قبرصية,قبرصى,,,
Czech,التشيك,تشيكية,تشيكى,,,
Czech Republic,التشيك,تشيكية,تشيكى,,,
Democratic Republic of the Congo,جمهورية الكونغو الديمقراطية,كنغولية,كنغولى,,,
Denmark,الدنمارك,دنماركية,دنماركى,,,
Djibouti,جيبوتي,جيبوتية,جيبوتى,,,
Dominica,دومينيكا,دومينيكية,دومينيكى,,,
Dominican Republic,الدومينيكان,دومينيكانية,دومينيكانى,,,
East Timor,تيمور الشرقية,,,,,
Ecuador,الإكوادور,إكوادورية,إكوادورى,,,
Egypt,مصر,مصرية,مصرى,,,
El Salvador,السلفادور,سلفادورية,سلفادورى,,,
Emirates,الامارات,اماراتية,اماراتى,,,
Equatorial Guinea,غينيا,غينية,غينى,,,
Eritrea,إريتريا,إريترية,إريترى,,,
Estonia,إستونيا,إستونية,إستونى,,,
Ethiopia,إثيوبيا,إثيوبية,إثيوبى,,,
Fiji,فيجي,فيجية,فيجى,,,
Finland,فنلندا,فنلندية,فنلندى,,,
France,فرنسا,فرنسية,فرنسى,,,
Gabon,الغابون,غابونية,غابونى,,,
Gambia,غامبيا,غامبية,غامبى,,,
Georgia,جورجيا,جورجية,جورجى,,,
Germany,ألمانيا,ألمانية,ألمانى,,,
Ghana,غانا,غانية,غانى,,,
Greece,اليونان,يونانية,يونانى,,,
Grenada,جرينادا,جرينادية,جرينادى,,,
Guatemala,غواتيمالا,غواتيمالية,غواتيمالى,,,
Guinea,غينيا,غينية,غينى,,,
Guinea-Bissau,غينيا بيساو,غينيا بيساوية,غينيا بيساوى,غينية,غيني,
Guyana,غويانا,غويانية,غويانى,,,
Haiti,هايتي,هايتية,هايتى,,,
Herzegovina,الهرسك,هرسكية,هرسكى,,,
Honduras,هندوراس,هندوراسية,هندوراسى,,,
Hungary,المجر,مجرية,مجرى,,,
Iceland,آيسلندا,آيسلندية,آيسلندى,,,
India,الهند,هندية,هندى,,,
Indonesia,إندونيسيا,إندونيسية,إندونيسى,,,
Iran,إيران,إيرانية,إيرانى,,,
Iraq,العراق,عراقية,عراقى,,,
Ireland,أيرلندا,أيرلندية,أيرلندى,,,
Israel,إسرائيل,إسرائيلية,إسرائيلى,,,
Italy,إيطاليا,إيطالية,إيطالى,,,
Jamaica,جامايكا,جامايكية,جامايكى,,,
Japan,اليابان,يابانية,يابانى,,,
Jordan,الأردن,أردنية,أردنى,,,
Kazakhstan,كازاخستان,كازاخستانية,كازاخستانى,,,
Kenya,كينيا,كينية,كينى,,,
Kiribati,كيريباتي,كيريباتية,كيريباتى,,,
Kuwait,الكويت,كويتية,كويتى,,,
Kyrgyzstan,قرغيزستان,قرغيزستانية,قرغيزستانى,,,
Laos,لاوس,لاوسية,لاوسى,,,
Latvia,لاتفيا,لاتفية,لاتفى,,,
Lebanon,لبنان,لبنانية,لبنانى,,,
Lesotho,ليسوتو,ليسوتية,ليسوتى,,,
Liberia,ليبيريا,ليبيرية,ليبيرى,,,
Libya,ليبيا,ليبية,ليبى,,,
Liechtenstein,ليختنشتاين,ليختنشتاينية,ليختنشتاينى,,,
Lithuania,ليتوانيا,ليتوانية,ليتوانى,,,
Luxembourg,لوكسمبورغ,لوكسمبورغية,لوكسمبورغى,,,
Macedonia,مقدونيا,مقدونية,مقدونى,,,
Madagascar,مدغشقر,مدغشقرية,مدغشقرى,,,
Malawi,مالاوي,مالاوية,مالاوى,,,
Malaysia,ماليزيا,ماليزية,ماليزى,,,
Maldives,جزر المالديف,مالديفية,مالديفى,,,
Mali,مالي,مالية,مالى,,,
Malta,مالطا,مالطية,مالطى,,,
Marshall Islands,جزر مارشال,,,,,
Mauritania,موريتانيا,موريتانية,موريتانى,,,
Mauritius,موريشيوس,موريشيوسية,موريشيوسى,,,
Mexico,المكسيك,مكسيكية,مكسيكى,,,
Micronesia,مايكرونيزيا,مايكرونيزية,مايكرونيزى,,,
Moldova,مولدوفا,مولدوفية,مولدوفى,,,
Monaco,موناكو,موناكية,موناكى,,,
Mongolia,منغوليا,منغولية,منغولى,,,
Montenegro,الجبل الأسود,,,,,1
Morocco,المغرب,مغربية,مغربى,,,
Mozambique,موزمبيق,موزمبيقية,موزمبيقى,,,
Myanmar,بورما,بورمية,بورمى,,,
Namibia,ناميبيا,ناميبية,ناميبى,,,
Nauru,ناورو,ناورية,ناورى,,,
Nepal,نيبال,نيبالية,نيبالى,,,
Netherlands,هولندا,هولندية,هولندى,,,
New Zealand,نيوزيلندا,نيوزيلندية,نيوزيلندى,,,
Nicaragua,نيكاراجوا,,,,,
Niger,النيجر,نيجرية,نيجرى,,,
Nigeria,نيجيريا,نيجيرية,نيجيرى,,,
North Korea,كوريا,كورية,كورى,,,
Norway,النرويج,نرويجية,نرويجى,,,
Oman,عمان,عمانية,عمانى,,,
Pakistan,باكستان,باكستانية,باكستانى,,,
Palau,بالاو,بالاوية,بالاوى,,,
Panama,بنما,بنمية,بنمى,,,
Papua New Guinea,بابوا غينيا الجديدة,غينية,غيني,,,
Paraguay,باراغواي,باراغوايية,باراغوايى,براغوانية,براغوايانى,
Peru,بيرو,بيروية,بيروى,,,
Philippines,الفلبين,فلبينية,فلبينى,,,
Poland,بولندا,بولندية,بولندى,,,
Portugal,البرتغال,برتغالية,برتغالى,,,
Qatar,قطر,قطرية,قطرى,,,
Republic of the Congo,جمهورية الكونغو,جمهورية الكونغوية,جمهورية الكونغوى,كونغولى,كونغولية,
Romania,رومانيا,رومانية,رومانى,,,
Russia,روسيا,روسية,روسى,,,
Rwanda,رواندا,رواندية,رواندى,,,
Saint Kitts and Nevis,سانت كيتس ونيفيس,,,,,
Saint Lucia,سانت لوسيا,سانت لوسية,سانت لوسى,,,
Saint Vincent and the Grenadines,سانت فنسينت والجرينادينز,,,,,
Samoa,ساموا,ساموية,ساموى,,,
San Marino,سان مارينو,,,,,
Sao Tome and Principe,ساو تومي وبرينسيب,,,,,
Saudi Arabia,السعودية,سعودية,سعودى,,,
Senegal,السنغال,سنغالية,سنغالى,,,
Serbia,صربيا,صربية,صربى,,,
Seychelles,سيشيل,سيشيلية,سيشيلى,,,
Sierra Leone,سيراليون,سيراليونية,سيراليونى,,,
Singapore,سنغافورة,سنغافورية,سنغافورى,,,
Slovakia,سلوفاكيا,سلوفاكية,سلوفاكى,,,
Slovenia,سلوفينيا,سلوفينية,سلوفينى,,,
Solomon Islands,جزر سليمان,,,,,
Somalia,الصومال,صومالية,صومالى,,,
South Africa,جنوب أفريقيا,جنوب أفريقية,جنوب أفريقى,,,
South Korea,كوريا,كورية,كورى,,,
South Sudan,جنوب السودان,,,,,
Spain,إسبانيا,إسبانية,إسبانى,,,
Sri Lanka,سريلانكا,سريلانكية,سريلانكى,,,
Sudan,السودان,سودانية,سودانى,,,
Suriname,سورينام,سورينامية,سورينامى,,,
Swaziland,سوازيلاند,سوازيلاندية,سوازيلاندى,,,
Sweden,السويد,سويدية,سويدى,,,
Switzerland,سويسرا,سويسرية,سويسرى,,,
Syria,سوريا,سورية,سورى,,,
Tajikistan,طاجيكستان,طاجيكستانية,طاجيكستانى,طاجيكى,طاجيكية,
Tanzania,تنزانيا,تنزانية,تنزانى,,,
Thailand,تايلاند,تايلاندية,تايلاندى,,,
Togo,توغو,توغوية,توغوى,توغولى,توغولية,
Tonga,تونجا,تونجية,تونجى,,,
Trinidad and Tobago,ترينيداد وتوباغو,ترينيداد وتوباغوية,ترينيداد وتوباغوى,تريندادية,تريندادى,
Tunisia,تونس,تونسية,تونسى,,,
Turkey,تركيا,تركية,تركى,,,
Turkmenistan,تركمانستان,تركمانستانية,تركمانستانى,تركمانى,تركمانية,
Tuvalu,توفالو,توفالوية,توفالوى,,,
Uganda,أوغندا,أوغندية,أوغندى,,,
Ukraine,أوكرانيا,أوكرانية,أوكرانى,,,
United Arab Emirates,الإمارات,إماراتية,إماراتى,,,
United Kingdom,المملكة المتحدة,بريطانية,بريطانى,,,
United States of America,الولايات المتحدة,امريكية,امريكى,,,
Uruguay,أوروغواي,أوروغوايية,أوروغوايى,اورجويانية,اورجوايانى,
USA,الولايات المتحدة,,,,,
Uzbekistan,أوزبكستان,أوزبكستانية,أوزبكستانى,اوزبكى,اوزبكية,
Vanuatu,فانواتو,فانواتوية,فانواتوى,,,
Venezuela,فنزويلا,فنزويلية,فنزويلى,,,
Vietnam,فيتنام,فيتنامية,فيتنامى,,,
Yemen,اليمن,يمنية,يمنى,,,
Zambia,زامبيا,زامبية,زامبى,,,
Zimbabwe,زيمبابوي,زيمبابوية,زيمبابوى,,,